date, pm25, pm10, o3, no2, so2, co
2/18, 253, 192, 30, 29, 11, 19
2/19, 229, 180, 22, 30, 11, 19
2/20, 248, 159, 22, 22, 10, 17
2/21, 213, 172, 32, 24, 12, 15
2/22, 239, 144, 27, 26, 12, 15
2/23, 205, 205, 27, 28, 14, 20
2/24, 198, 162, 30, 26, 12, 17
2/25, 172, 145, 25, 26, 13, 15
2/26, 194, 155, 23, 23, 16, 17
2/27, 181, 150, 20, 18, 12, 18
2/28, 151, 125, 29, 24, 12, 11
3/1, 152, 110, 30, 24, 12, 11
3/2, 142, 113, 33, 17, 12, 11
3/3, 143, 160, 32, 22, 20, 16
3/4, 172, 187, 34, 30, 14, 20
3/5, 179, 139, 30, 21, 11, 10
3/6, 180, 158, 36, 22, 16, 18
3/7, 181, 143, 33, 26, 12, 11
3/8, 182, 149, 31, 21, 12, 13
3/9, 179, 163, 25, 24, 10, 12
